alpha_label,alpha_vec,n,k,rule,draws,avg_coord_width_mean,avg_coord_width_median,max_coord_width_mean,max_coord_width_median,mean_linear_width_mean,mean_linear_width_median,mean_skewed_width_mean,mean_skewed_width_median,tie_rate,payment_probability_mean,payment_probability_median
graded,"5,2,1,0.5,0.2",20,5,Discrete metric,5000,0.07142857142857142,0.07142857142857142,0.1221452380952381,0.11904761904761907,0.08649358648597778,0.08630952380952384,0.04959523809523809,0.047619047619047616,0.0,0.04215113072400901,0.03137308927149806
graded,"5,2,1,0.5,0.2",20,5,Manhattan distance,5000,0.06614725612981696,0.06383092170446844,0.0875830460054966,0.08769825448975199,0.06545251519070841,0.06497607961876783,0.04505711555556498,0.038947060641777664,0.0,nan,nan
graded,"5,2,1,0.5,0.2",20,5,Quadratic distance,5000,0.06535359999999998,0.06999999999999998,0.07544566666666669,0.07750000000000001,0.05971874999999999,0.062499999999999944,0.048011,0.040000000000000015,0.0,nan,nan
no-small,"5,4,3,2,2",20,5,Discrete metric,5000,0.0714285714285714,0.07142857142857142,0.09524761904761903,0.09523809523809523,0.07286361871823828,0.07262845849802368,0.06137142857142858,0.05952380952380952,0.0,0.005815700791873316,0.004922568400993928
no-small,"5,4,3,2,2",20,5,Manhattan distance,5000,0.07614994312578713,0.07718703787837175,0.0859700961868475,0.08595678913685723,0.07401059823191301,0.07462222117961942,0.07011472285419781,0.07154937263447791,0.0,nan,nan
no-small,"5,4,3,2,2",20,5,Quadratic distance,5000,0.07880339999999998,0.07999999999999999,0.07969716666666668,0.08000000000000002,0.07394333333333333,0.07499999999999996,0.077654,0.07999999999999999,0.0,nan,nan
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,Discrete metric,5000,0.07142857142857142,0.07142857142857142,0.13873571428571427,0.1428571428571429,0.08845596884999059,0.08928571428571427,0.054773809523809516,0.04761904761904762,0.0,0.08722314456545607,0.051609125873491826
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,Manhattan distance,5000,0.06305072008462469,0.06274677295180073,0.08655751200194509,0.08738374656503134,0.0647543886275274,0.06538352652186091,0.057168976954863546,0.06444690579833501,0.0,nan,nan
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,Quadratic distance,5000,0.062339799999999994,0.059,0.07370983333333336,0.07333333333333336,0.06235999999999997,0.06250000000000006,0.05936433333333333,0.07333333333333326,0.0,nan,nan
two-modes,"3,3,0.3,0.3,0.3",20,5,Discrete metric,5000,0.07142857142857142,0.07142857142857142,0.11938214285714284,0.11904761904761907,0.08393937041219648,0.08333333333333334,0.051578571428571425,0.047619047619047616,0.0,0.06402338944494886,0.04807623544483061
two-modes,"3,3,0.3,0.3,0.3",20,5,Manhattan distance,5000,0.06311565719205789,0.0632001567270418,0.0866273292371113,0.08688334627987793,0.06490070809269019,0.06458999285732298,0.04886685443614291,0.03828140212010389,0.0,nan,nan
two-modes,"3,3,0.3,0.3,0.3",20,5,Quadratic distance,5000,0.0605192,0.05899999999999998,0.07316566666666668,0.07333333333333336,0.05918124999999998,0.058333333333333376,0.052080166666666663,0.03750000000000002,0.0,nan,nan
