n,k,alpha,metric,rule,win_share,mean_regret
5,2,0.1,coord_avg,Discrete metric,0.151,0.05578130565962999
5,2,0.1,coord_avg,Quadratic distance,0.8212,0.006994638992965662
5,2,0.1,coord_avg,Manhattan distance,0.0278,0.026973475320115778
5,2,0.1,coord_max,Discrete metric,0.151,0.05578130565962999
5,2,0.1,coord_max,Quadratic distance,0.8212,0.006994638992965662
5,2,0.1,coord_max,Manhattan distance,0.0278,0.026973475320115778
5,2,0.1,mean_linear,Discrete metric,0.151,0.05578130565962999
5,2,0.1,mean_linear,Quadratic distance,0.8212,0.006994638992965647
5,2,0.1,mean_linear,Manhattan distance,0.0278,0.02697347532011584
5,2,0.1,mean_skewed,Discrete metric,0.151,0.05578130565962999
5,2,0.1,mean_skewed,Quadratic distance,0.8212,0.006994638992965647
5,2,0.1,mean_skewed,Manhattan distance,0.0278,0.02697347532011584
5,2,0.3,coord_avg,Discrete metric,0.3888,0.039368433028923955
5,2,0.3,coord_avg,Quadratic distance,0.5644,0.01626176636225826
5,2,0.3,coord_avg,Manhattan distance,0.0468,0.023818246387949105
5,2,0.3,coord_max,Discrete metric,0.3888,0.039368433028923955
5,2,0.3,coord_max,Quadratic distance,0.5644,0.01626176636225826
5,2,0.3,coord_max,Manhattan distance,0.0468,0.0238182463879491
5,2,0.3,mean_linear,Discrete metric,0.3888,0.039368433028923955
5,2,0.3,mean_linear,Quadratic distance,0.5644,0.01626176636225825
5,2,0.3,mean_linear,Manhattan distance,0.0468,0.023818246387949278
5,2,0.3,mean_skewed,Discrete metric,0.3888,0.039368433028923955
5,2,0.3,mean_skewed,Quadratic distance,0.5644,0.01626176636225825
5,2,0.3,mean_skewed,Manhattan distance,0.0468,0.023818246387949278
5,2,1.0,coord_avg,Discrete metric,0.7422,0.01533724204166345
5,2,1.0,coord_avg,Quadratic distance,0.195,0.029170575374995712
5,2,1.0,coord_avg,Manhattan distance,0.0628,0.019558526935927488
5,2,1.0,coord_max,Discrete metric,0.7422,0.01533724204166345
5,2,1.0,coord_max,Quadratic distance,0.195,0.029170575374995712
5,2,1.0,coord_max,Manhattan distance,0.0628,0.019558526935927485
5,2,1.0,mean_linear,Discrete metric,0.7422,0.015337242041663453
5,2,1.0,mean_linear,Quadratic distance,0.195,0.029170575374995702
5,2,1.0,mean_linear,Manhattan distance,0.0628,0.019558526935927942
5,2,1.0,mean_skewed,Discrete metric,0.7422,0.015337242041663453
5,2,1.0,mean_skewed,Quadratic distance,0.195,0.029170575374995702
5,2,1.0,mean_skewed,Manhattan distance,0.0628,0.019558526935927942
5,2,3.0,coord_avg,Discrete metric,0.9664,0.0017629191253972073
5,2,3.0,coord_avg,Quadratic distance,0.0174,0.03335625245872924
5,2,3.0,coord_avg,Manhattan distance,0.0162,0.01879136759673098
5,2,3.0,coord_max,Discrete metric,0.9664,0.0017629191253972084
5,2,3.0,coord_max,Quadratic distance,0.0174,0.03335625245872924
5,2,3.0,coord_max,Manhattan distance,0.0162,0.018791367596730977
5,2,3.0,mean_linear,Discrete metric,0.9664,0.0017629191253972106
5,2,3.0,mean_linear,Quadratic distance,0.0174,0.03335625245872924
5,2,3.0,mean_linear,Manhattan distance,0.0162,0.01879136759673176
5,2,3.0,mean_skewed,Discrete metric,0.9664,0.0017629191253972106
5,2,3.0,mean_skewed,Quadratic distance,0.0174,0.03335625245872924
5,2,3.0,mean_skewed,Manhattan distance,0.0162,0.01879136759673176
