n,k,alpha,rule,model,t,t_over_n,draws,coverage,coverage_se,drop,drop_se,coverage_cond_eff,noop_share,mean_t_eff,mean_displacement,tie_rate,bounds_subsample,avg_coord_width,max_coord_width,mean_linear_width,mean_skewed_width,noncov_count_sub,noncov_zero_boxviol_share,survival_median_T,survival_share_T1,survival_censored_share,t_max,seed,tolerance,script_version,git_hash
5,2,0.1,Frequency guessing,center_bias,0,0.0,5000,1.0,0.0,,,,0.061,1.7934,,0.0,250,0.166667,0.166667,0.166667,0.166667,0,,1.0,0.939,0.061,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Frequency guessing,center_bias,1,0.2,5000,0.061,0.003385,0.939,0.003385,0.0,0.061,1.7934,,0.0,250,0.166667,0.166667,0.166667,0.166667,239,0.0,1.0,0.939,0.061,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Frequency guessing,center_bias,2,0.4,5000,0.061,0.003385,0.0,0.0,,0.061,1.7934,,0.0,250,0.166667,0.166667,0.166667,0.166667,239,0.0,1.0,0.939,0.061,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Frequency guessing,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.166667,0.166667,0.166667,0.166667,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Frequency guessing,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.166667,0.166667,0.166667,0.166667,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Frequency guessing,uniform_error,2,0.4,5000,0.5274,0.00706,-0.5274,0.00706,,,,0.9452,0.0,250,0.166667,0.166667,0.166667,0.166667,120,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Squared distance,center_bias,0,0.0,5000,1.0,0.0,,,,0.073,1.7348,,0.0,250,0.1168,0.1168,0.1168,0.1168,0,,1.0,0.927,0.073,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Squared distance,center_bias,1,0.2,5000,0.073,0.003679,0.927,0.003679,0.0,0.073,1.7348,,0.0,250,0.2,0.2,0.2,0.2,236,0.0,1.0,0.927,0.073,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Squared distance,center_bias,2,0.4,5000,0.073,0.003679,0.0,0.0,,0.073,1.7348,,0.0,250,0.2,0.2,0.2,0.2,236,0.0,1.0,0.927,0.073,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Squared distance,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.1168,0.1168,0.1168,0.1168,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Squared distance,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.1956,0.1956,0.1956,0.1956,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Squared distance,uniform_error,2,0.4,5000,0.5326,0.007056,-0.5326,0.007056,,,,0.9348,0.0,250,0.1576,0.1576,0.1576,0.1576,121,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Manhattan distance,center_bias,0,0.0,5000,1.0,0.0,,,,0.0666,1.7606,,0.0,250,0.137664,0.137664,0.137664,0.137664,0,,1.0,0.9334,0.0666,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Manhattan distance,center_bias,1,0.2,5000,0.0666,0.003526,0.9334,0.003526,0.0,0.0666,1.7606,,0.0,250,0.184631,0.184631,0.184631,0.184631,238,0.0,1.0,0.9334,0.0666,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Manhattan distance,center_bias,2,0.4,5000,0.0666,0.003526,0.0,0.0,,0.0666,1.7606,,0.0,250,0.18619,0.18619,0.18619,0.18619,238,0.0,1.0,0.9334,0.0666,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Manhattan distance,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.137664,0.137664,0.137664,0.137664,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Manhattan distance,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.180956,0.180956,0.180956,0.180956,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.1,Manhattan distance,uniform_error,2,0.4,5000,0.5234,0.007063,-0.5234,0.007063,,,,0.9532,0.0,250,0.161751,0.161751,0.161751,0.161751,124,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Frequency guessing,center_bias,0,0.0,5000,1.0,0.0,,,,0.153,1.5128,,0.0,250,0.166667,0.166667,0.166667,0.166667,0,,1.0,0.847,0.153,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Frequency guessing,center_bias,1,0.2,5000,0.153,0.005091,0.847,0.005091,0.0,0.153,1.5128,,0.0,250,0.166667,0.166667,0.166667,0.166667,210,0.0,1.0,0.847,0.153,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Frequency guessing,center_bias,2,0.4,5000,0.153,0.005091,0.0,0.0,,0.153,1.5128,,0.0,250,0.166667,0.166667,0.166667,0.166667,210,0.0,1.0,0.847,0.153,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Frequency guessing,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.166667,0.166667,0.166667,0.166667,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Frequency guessing,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.166667,0.166667,0.166667,0.166667,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Frequency guessing,uniform_error,2,0.4,5000,0.533,0.007056,-0.533,0.007056,,,,0.934,0.0,250,0.166667,0.166667,0.166667,0.166667,115,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Squared distance,center_bias,0,0.0,5000,1.0,0.0,,,,0.1886,1.3832,,0.0,250,0.1404,0.1404,0.1404,0.1404,0,,1.0,0.8114,0.1886,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Squared distance,center_bias,1,0.2,5000,0.1886,0.005532,0.8114,0.005532,0.0,0.1886,1.3832,,0.0,250,0.2,0.2,0.2,0.2,197,0.0,1.0,0.8114,0.1886,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Squared distance,center_bias,2,0.4,5000,0.1886,0.005532,0.0,0.0,,0.1886,1.3832,,0.0,250,0.2,0.2,0.2,0.2,197,0.0,1.0,0.8114,0.1886,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Squared distance,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.1404,0.1404,0.1404,0.1404,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Squared distance,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.1892,0.1892,0.1892,0.1892,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Squared distance,uniform_error,2,0.4,5000,0.5636,0.007014,-0.5636,0.007014,,,,0.8728,0.0,250,0.1628,0.1628,0.1628,0.1628,99,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Manhattan distance,center_bias,0,0.0,5000,1.0,0.0,,,,0.1738,1.4416,,0.0,250,0.149576,0.149576,0.149576,0.149576,0,,1.0,0.8262,0.1738,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Manhattan distance,center_bias,1,0.2,5000,0.1738,0.005359,0.8262,0.005359,0.0,0.1738,1.4416,,0.0,250,0.185019,0.185019,0.185019,0.185019,201,0.0,1.0,0.8262,0.1738,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Manhattan distance,center_bias,2,0.4,5000,0.1738,0.005359,0.0,0.0,,0.1738,1.4416,,0.0,250,0.18619,0.18619,0.18619,0.18619,201,0.0,1.0,0.8262,0.1738,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Manhattan distance,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.149576,0.149576,0.149576,0.149576,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Manhattan distance,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.180495,0.180495,0.180495,0.180495,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,0.3,Manhattan distance,uniform_error,2,0.4,5000,0.5644,0.007012,-0.5644,0.007012,,,,0.8712,0.0,250,0.162784,0.162784,0.162784,0.162784,112,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Frequency guessing,center_bias,0,0.0,5000,1.0,0.0,,,,0.3414,0.9852,,0.0,250,0.166667,0.166667,0.166667,0.166667,0,,1.0,0.6586,0.3414,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Frequency guessing,center_bias,1,0.2,5000,0.3414,0.006706,0.6586,0.006706,0.0,0.3414,0.9852,,0.0,250,0.166667,0.166667,0.166667,0.166667,175,0.0,1.0,0.6586,0.3414,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Frequency guessing,center_bias,2,0.4,5000,0.3414,0.006706,0.0,0.0,,0.3414,0.9852,,0.0,250,0.166667,0.166667,0.166667,0.166667,175,0.0,1.0,0.6586,0.3414,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Frequency guessing,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.166667,0.166667,0.166667,0.166667,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Frequency guessing,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.166667,0.166667,0.166667,0.166667,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Frequency guessing,uniform_error,2,0.4,5000,0.5812,0.006977,-0.5812,0.006977,,,,0.8376,0.0,250,0.166667,0.166667,0.166667,0.166667,111,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Squared distance,center_bias,0,0.0,5000,1.0,0.0,,,,0.4112,0.7828,,0.0,250,0.1764,0.1764,0.1764,0.1764,0,,1.0,0.5888,0.4112,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Squared distance,center_bias,1,0.2,5000,0.4112,0.006959,0.5888,0.006959,0.0,0.4112,0.7828,,0.0,250,0.2,0.2,0.2,0.2,157,0.0,1.0,0.5888,0.4112,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Squared distance,center_bias,2,0.4,5000,0.4112,0.006959,0.0,0.0,,0.4112,0.7828,,0.0,250,0.2,0.2,0.2,0.2,157,0.0,1.0,0.5888,0.4112,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Squared distance,uniform_error,0,0.0,5000,1.0,0.0,,,,,,,0.0,250,0.1764,0.1764,0.1764,0.1764,0,,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Squared distance,uniform_error,1,0.2,5000,0.0,0.0,1.0,0.0,,,,1.0,0.0,250,0.1808,0.1808,0.1808,0.1808,250,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Squared distance,uniform_error,2,0.4,5000,0.6144,0.006883,-0.6144,0.006883,,,,0.7712,0.0,250,0.1796,0.1796,0.1796,0.1796,100,0.0,1.0,1.0,0.0,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
5,2,1.0,Manhattan distance,center_bias,0,0.0,5000,1.0,0.0,,,,0.3822,0.8696,,0.0,250,0.168963,0.168963,0.168963,0.168963,0,,1.0,0.6178,0.3822,5,20260610,0.0001,1.0 (2026-06-10),fceb25c
