n,k,alpha,metric,rule,win_share
5,2,0.1,coord_avg,Discrete metric,0.151
5,2,0.1,coord_avg,Quadratic distance,0.8212
5,2,0.1,coord_avg,Manhattan distance,0.0278
5,2,0.1,coord_max,Discrete metric,0.151
5,2,0.1,coord_max,Quadratic distance,0.8212
5,2,0.1,coord_max,Manhattan distance,0.0278
5,2,0.1,mean_linear,Discrete metric,0.151
5,2,0.1,mean_linear,Quadratic distance,0.8212
5,2,0.1,mean_linear,Manhattan distance,0.0278
5,2,0.1,mean_skewed,Discrete metric,0.151
5,2,0.1,mean_skewed,Quadratic distance,0.8212
5,2,0.1,mean_skewed,Manhattan distance,0.0278
5,2,0.3,coord_avg,Discrete metric,0.3888
5,2,0.3,coord_avg,Quadratic distance,0.5644
5,2,0.3,coord_avg,Manhattan distance,0.0468
5,2,0.3,coord_max,Discrete metric,0.3888
5,2,0.3,coord_max,Quadratic distance,0.5644
5,2,0.3,coord_max,Manhattan distance,0.0468
5,2,0.3,mean_linear,Discrete metric,0.3888
5,2,0.3,mean_linear,Quadratic distance,0.5644
5,2,0.3,mean_linear,Manhattan distance,0.0468
5,2,0.3,mean_skewed,Discrete metric,0.3888
5,2,0.3,mean_skewed,Quadratic distance,0.5644
5,2,0.3,mean_skewed,Manhattan distance,0.0468
5,2,1.0,coord_avg,Discrete metric,0.7422
5,2,1.0,coord_avg,Quadratic distance,0.195
5,2,1.0,coord_avg,Manhattan distance,0.0628
5,2,1.0,coord_max,Discrete metric,0.7422
5,2,1.0,coord_max,Quadratic distance,0.195
5,2,1.0,coord_max,Manhattan distance,0.0628
5,2,1.0,mean_linear,Discrete metric,0.7422
5,2,1.0,mean_linear,Quadratic distance,0.195
5,2,1.0,mean_linear,Manhattan distance,0.0628
5,2,1.0,mean_skewed,Discrete metric,0.7422
5,2,1.0,mean_skewed,Quadratic distance,0.195
5,2,1.0,mean_skewed,Manhattan distance,0.0628
5,2,3.0,coord_avg,Discrete metric,0.9664
5,2,3.0,coord_avg,Quadratic distance,0.0174
5,2,3.0,coord_avg,Manhattan distance,0.0162
5,2,3.0,coord_max,Discrete metric,0.9664
5,2,3.0,coord_max,Quadratic distance,0.0174
5,2,3.0,coord_max,Manhattan distance,0.0162
5,2,3.0,mean_linear,Discrete metric,0.9664
5,2,3.0,mean_linear,Quadratic distance,0.0174
5,2,3.0,mean_linear,Manhattan distance,0.0162
5,2,3.0,mean_skewed,Discrete metric,0.9664
5,2,3.0,mean_skewed,Quadratic distance,0.0174
5,2,3.0,mean_skewed,Manhattan distance,0.0162
5,2,10.0,coord_avg,Discrete metric,1.0
5,2,10.0,coord_avg,Quadratic distance,0.0
5,2,10.0,coord_avg,Manhattan distance,0.0
5,2,10.0,coord_max,Discrete metric,1.0
5,2,10.0,coord_max,Quadratic distance,0.0
5,2,10.0,coord_max,Manhattan distance,0.0
5,2,10.0,mean_linear,Discrete metric,1.0
5,2,10.0,mean_linear,Quadratic distance,0.0
5,2,10.0,mean_linear,Manhattan distance,0.0
5,2,10.0,mean_skewed,Discrete metric,1.0
5,2,10.0,mean_skewed,Quadratic distance,0.0
5,2,10.0,mean_skewed,Manhattan distance,0.0
5,3,0.1,coord_avg,Discrete metric,0.0196
5,3,0.1,coord_avg,Quadratic distance,0.934
5,3,0.1,coord_avg,Manhattan distance,0.0464
5,3,0.1,coord_max,Discrete metric,0.0152
5,3,0.1,coord_max,Quadratic distance,0.934
5,3,0.1,coord_max,Manhattan distance,0.0508
5,3,0.1,mean_linear,Discrete metric,0.0498
5,3,0.1,mean_linear,Quadratic distance,0.8466
5,3,0.1,mean_linear,Manhattan distance,0.1036
5,3,0.1,mean_skewed,Discrete metric,0.1044
5,3,0.1,mean_skewed,Quadratic distance,0.8508
5,3,0.1,mean_skewed,Manhattan distance,0.0448
5,3,0.3,coord_avg,Discrete metric,0.101
5,3,0.3,coord_avg,Quadratic distance,0.8182
5,3,0.3,coord_avg,Manhattan distance,0.0808
5,3,0.3,coord_max,Discrete metric,0.0824
5,3,0.3,coord_max,Quadratic distance,0.8182
